epoch,Train_Loss,Train_dice,Val_Loss,Val_dice
1,0.8711,0.1774,0.9003,0.4804
2,0.8497,0.3889,0.9016,0.161
3,0.8459,0.4435,0.8934,0.5169
4,0.8431,0.4678,0.8911,0.4616
5,0.8418,0.4852,0.8961,0.5282
6,0.8397,0.5108,0.8894,0.4107
7,0.839,0.5143,0.8915,0.5105
8,0.8381,0.5286,0.89,0.5201
9,0.8376,0.5298,0.8975,0.5527
10,0.8368,0.5394,0.8902,0.4501
11,0.8363,0.5441,0.8934,0.5403
12,0.8357,0.5586,0.8883,0.5096
13,0.8355,0.5617,0.8886,0.5308
14,0.8351,0.5607,0.8872,0.5223
15,0.8346,0.5743,0.8874,0.527
16,0.8345,0.5646,0.8887,0.5014
17,0.8339,0.5771,0.8912,0.6041
18,0.8335,0.5778,0.8921,0.4555
19,0.8333,0.5734,0.8869,0.5011
20,0.8323,0.605,0.8867,0.5316
21,0.832,0.6071,0.8867,0.2296
22,0.8318,0.6138,0.8866,0.471
23,0.8317,0.6126,0.8859,0.4758
24,0.8312,0.6225,0.8871,0.5273
25,0.8312,0.6156,0.889,0.5193
26,0.8309,0.6236,0.8888,0.4964
27,0.8308,0.6235,0.888,0.2527
28,0.8306,0.6274,0.8878,0.5207
29,0.8305,0.6292,0.8865,0.5541
30,0.8301,0.6299,0.8852,0.5
31,0.83,0.6288,0.8853,0.5204
32,0.8297,0.6416,0.899,0.6272
33,0.8295,0.6451,0.8851,0.5463
34,0.8295,0.6376,0.8984,0.5289
35,0.8293,0.6415,0.8864,0.5271
36,0.8291,0.6459,0.8917,0.5172
37,0.8292,0.6427,0.8911,0.513
38,0.829,0.6453,0.889,0.5209
39,0.8284,0.661,0.8869,0.5654
40,0.8279,0.6592,0.8864,0.528
41,0.8278,0.664,0.8872,0.3585
42,0.8274,0.6693,0.8911,0.5393
43,0.8274,0.6729,0.8903,0.5566
44,0.8272,0.6761,0.8865,0.5089
45,0.8272,0.6701,0.8844,0.494
46,0.827,0.6756,0.8986,0.5445
47,0.8268,0.6742,0.8907,0.5039
48,0.8265,0.683,0.887,0.5393
49,0.8266,0.6785,0.8878,0.5193
50,0.8265,0.68,0.89,0.5442
51,0.8262,0.6826,0.8858,0.5323
52,0.8263,0.6835,0.8981,0.5295
53,0.8257,0.6938,0.8892,0.5223
54,0.826,0.6851,0.8871,0.4313
55,0.8257,0.6915,0.8876,0.5433
56,0.8255,0.6949,0.889,0.5387
57,0.8253,0.6996,0.8861,0.5424
58,0.8252,0.6929,0.8887,0.5622
59,0.8252,0.6913,0.8888,0.5769
60,0.8247,0.7025,0.8882,0.5342
61,0.8243,0.7151,0.8869,0.534
62,0.8241,0.7155,0.8861,0.5266
